Postal Code,Price_med,Area_med,BHK_med,Grade_med,Schools_avg,AirportDist_avg,burden_ratio,affordability_status
122003,750000.0,1820.0,3.0,3.0,2.131782945736434,65.97674418604652,2.7948062015503874,⌀
122004,675000.0,1910.0,3.0,3.0,1.9745222929936306,64.0,2.799363057324841,⌀
122005,609500.0,2310.0,4.0,3.0,1.9831730769230769,65.63461538461539,2.1298317307692307,⌀
122006,550000.0,1780.0,3.0,3.0,2.027707808564232,65.04282115869017,2.045264483627204,⌀
122007,535000.0,1580.0,3.0,3.0,1.9823232323232323,63.98737373737374,1.9093434343434343,✓
122008,491000.0,2430.0,3.0,3.0,1.994949494949495,64.41414141414141,1.7304040404040404,✓
122009,556500.0,1740.0,3.0,3.0,2.074074074074074,64.82407407407408,2.022407407407407,⌀
122010,678000.0,2240.0,4.0,3.0,2.027491408934708,65.38144329896907,2.640618556701031,⌀
122011,570000.0,2080.0,3.0,3.0,1.9912663755458515,63.93886462882096,2.0331441048034935,⌀
122012,567500.0,2430.0,3.0,3.0,1.9824561403508771,65.29824561403508,2.053298245614035,⌀
122013,670000.0,1660.0,3.0,3.0,1.922077922077922,64.50649350649351,2.9523376623376625,⌀
122014,367500.0,1640.0,3.0,3.0,2.0132013201320134,65.08250825082509,1.3436633663366337,✓
122015,430000.0,2335.0,4.0,3.0,2.037974683544304,65.44303797468355,1.6455696202531647,✓
122016,469000.0,1660.0,3.0,3.0,2.0,63.84615384615385,1.8349112426035505,✓
122017,458000.0,2185.0,3.0,3.0,2.0422535211267605,65.83802816901408,1.6164084507042253,✓
122018,264000.0,1880.0,3.0,3.0,1.9373134328358208,63.997014925373136,0.9557910447761194,✓
122019,640000.0,2570.0,4.0,3.0,2.006269592476489,65.20689655172414,2.2784012539184952,⌀
122020,725893.0,2990.0,4.0,3.0,1.987603305785124,64.12809917355372,2.6219421487603305,⌀
122021,532320.0,2280.0,3.0,3.0,2.0568181818181817,65.38068181818181,1.9156818181818183,✓
122022,427000.0,1650.0,3.0,3.0,1.9318996415770608,64.97849462365592,1.5587813620071684,✓
122023,313750.0,2205.0,3.5,3.0,1.920353982300885,64.81858407079646,1.132787610619469,✓
122024,338950.0,2000.0,3.0,3.0,1.9627659574468086,64.54521276595744,1.209308510638298,✓
122025,397000.0,1830.0,3.0,3.0,1.981818181818182,65.73939393939393,1.4178181818181819,✓
122026,511000.0,1405.0,3.0,3.0,1.9545454545454546,64.80681818181819,1.8603977272727272,✓
122027,753000.0,2710.0,4.0,4.0,2.0547550432276656,64.70317002881845,2.7655331412103745,⌀
122028,541500.0,1540.0,3.0,3.0,2.009259259259259,65.05555555555556,1.9271759259259258,✓
122029,546800.0,2000.0,4.0,4.0,2.093264248704663,63.7720207253886,2.1520725388601036,⌀
122030,550000.0,2060.0,4.0,4.0,2.0792079207920793,65.82178217821782,2.0621782178217822,⌀
122031,380000.0,1930.0,3.0,3.0,2.011904761904762,65.01785714285714,1.5130357142857143,✓
122032,693000.0,1985.0,3.0,3.0,2.0841121495327104,65.29906542056075,2.6356542056074765,⌀
122033,442500.0,1840.0,3.0,3.0,1.9817232375979112,63.960835509138384,1.7119843342036556,✓
122034,312000.0,1405.0,3.0,3.0,2.0754716981132075,65.50471698113208,1.0370283018867925,✓
122035,285000.0,1910.0,3.0,3.0,2.0145772594752187,65.57434402332362,1.0229154518950438,✓
122036,457000.0,1880.0,3.0,3.0,1.8775510204081634,63.224489795918366,1.862857142857143,✓
122037,654950.0,2870.0,4.0,3.0,1.9432624113475176,64.11347517730496,2.207730496453901,⌀
122038,359950.0,1480.0,3.0,3.0,2.062111801242236,64.27639751552795,1.2327950310559006,✓
122039,254950.0,1808.0,3.0,3.0,2.016326530612245,65.82857142857142,0.9173469387755102,✓
122040,262000.0,1820.0,3.0,3.0,2.0217391304347827,64.15217391304348,0.9746195652173913,✓
122041,416500.0,1905.0,3.0,3.0,2.152173913043478,65.1413043478261,1.525108695652174,✓
122042,290000.0,1690.0,3.0,3.0,1.9709302325581395,64.68604651162791,0.9940116279069767,✓
122043,261950.0,1660.0,3.0,3.0,1.956043956043956,64.72527472527473,1.0334615384615384,✓
122044,589000.0,1640.0,3.0,3.0,1.9565217391304348,65.3623188405797,2.1080676328502417,⌀
122045,652500.0,2490.0,3.0,3.0,2.014336917562724,65.33333333333333,2.2715770609318997,⌀
122046,330000.0,1990.0,4.0,3.0,1.9657534246575343,65.20890410958904,1.1814383561643835,✓
122047,886000.0,2320.0,3.0,3.0,2.0871794871794873,65.87179487179488,3.56425641025641,⌀
122048,1080000.0,2650.0,4.0,3.0,2.0095238095238095,64.32380952380953,4.321380952380952,⌀
122049,754000.0,2500.0,4.0,4.0,2.042372881355932,65.58474576271186,2.6783898305084746,⌀
122050,565000.0,2140.0,3.0,3.0,2.0662983425414363,64.4475138121547,2.2037016574585637,⌀
122051,359000.0,1610.0,3.0,3.0,1.9774193548387098,64.8,1.3692580645161292,✓
122052,285000.0,1580.0,3.0,3.0,2.074712643678161,65.32183908045977,1.1999425287356322,✓
122053,380000.0,1980.0,3.0,4.0,2.0415094339622644,64.82264150943396,1.4095849056603775,✓
122054,450000.0,1720.0,3.0,3.0,2.0220264317180616,66.54625550660793,2.044625550660793,⌀
122055,400000.0,2135.0,3.0,3.0,1.9919354838709677,65.35483870967742,1.416774193548387,✓
122056,230750.0,1395.0,3.0,3.0,2.015957446808511,65.92553191489361,0.7787765957446808,✓
122057,972750.0,3015.0,4.0,4.0,2.056122448979592,65.09693877551021,3.961989795918367,⌀
122058,430000.0,2030.0,3.0,3.0,2.097297297297297,65.97837837837838,1.5159999999999998,✓
122059,340000.0,1690.0,3.0,3.0,2.093525179856115,65.43884892086331,1.1802158273381296,✓
122060,270000.0,1580.0,3.0,3.0,2.128205128205128,63.82051282051282,0.9528205128205127,✓
122061,740000.0,1880.0,3.0,3.0,2.050632911392405,67.79746835443038,2.965443037974684,⌀
122062,388500.0,1830.0,3.0,3.0,1.8870967741935485,63.17741935483871,1.4103225806451614,✓
122063,279000.0,1690.0,3.0,3.0,1.9567567567567568,64.45405405405405,1.0203243243243243,✓
122064,382000.0,1450.0,3.0,3.0,2.0948616600790513,66.11067193675889,1.3791699604743084,✓
122065,280000.0,1867.0,3.0,3.0,2.032258064516129,64.4,0.9847096774193548,✓
122066,250000.0,1710.0,3.0,4.0,1.9770114942528736,64.51724137931035,0.8293103448275863,✓
122067,289659.0,1840.0,3.0,3.0,2.0279329608938546,65.25139664804469,0.9940223463687151,✓
122068,281508.5,1675.0,3.0,4.0,1.974025974025974,64.2012987012987,1.051103896103896,✓
122069,453000.0,1830.0,3.0,4.0,2.0,65.14606741573034,1.6040449438202247,✓
122070,261000.0,1750.0,3.0,3.0,2.0240963855421685,63.9277108433735,0.9331325301204819,✓
122071,2100000.0,3990.0,4.0,3.0,2.0,65.5945945945946,7.827837837837838,⌀
